Core.Based.Statistical.Area.CBSA.,State,Population.2010,log.pop.2010,O3.8.hr.ppm.,PM2.5.Wtd.AM._g.m3.,PM2.5.24.hr._g.m3.,SO2.1.hr.ppb.,CO.8.hr.ppm.,Pb.3.mo.microg.m3.,NO2.AM.ppb.,NO2.1.hr.ppb.,PM10.24.hr.microg.m3.,Per.capita.personal.income.Dollars.2014,Per.capita.personal.income.Dollars.2015,Per.capita.personal.income.Percent.growth,Real.per.capita.personal.income.2014.Chained.2009.dollars,Real.per.capita.personal.income.2015.Chained.2009.dollars,Real.per.capita.personal.income.Percent.growth.x,Total.Adjusted.Sales.of.Distillate.Fuel.Oil,Population.State,Total.Adjusted.Sales.of.Distillate.Fuel.Oil.per.Capita,Electricty.sale.2015,Electricty.sale.2015.per.Capita,Average.temperature,Average.annual.precipitation...rainfall,X2015.GDP,X2015.GDP.per.Capita
"Crestview-Fort Walton Beach-Destin, FL",Florida,235865,5.372663501,0.06,NA,NA,NA,NA,NA,NA,NA,35,45259,46340,2.4,43719,44708,2.3,"2,205,777","20,244,914",0.108954624,235599,0.011637441,65.8,63,12580,53335.59451
"Dallas-Fort Worth-Arlington, TX",Texas,6426214,6.807955184,0.076,8.5,19,8,1,0.06,12,45,52,49362,51099,3.5,45483,46858,3,"7,315,567","27,429,639",0.266703,392337,0.014303396,64.3,40.97,485683,75578.40433
"Dalton, GA",Georgia,142227,5.15298205,0.067,NA,NA,NA,NA,NA,NA,NA,NA,30668,31539,2.8,33565,34372,2.4,"1,744,976","10,199,398",0.171086176,135878,0.013322159,60.15,56.53,5983,42066.55558
"Daphne-Fairhope-Foley, AL",Alabama,182265,5.26070328,0.062,7.2,14,NA,NA,NA,NA,NA,NA,39028,40121,2.8,39001,40361,3.5,"1,107,330","4,853,875",0.228133193,88846,0.018304138,67.4,67.86,6824,37439.99122
"Davenport-Moline-Rock Island, IA-IL",Iowa,379690,5.579429159,0.066,8.2,22,4,1,NA,6,30,121,43505,44418,2.1,43965,45033,2.4,"1,095,423","3,121,997",0.350872534,47147,0.015101552,49.3,35.97,19541,51465.66936
"Davenport-Moline-Rock Island, IA-IL",Iowa,379690,5.579429159,0.066,8.2,22,4,1,NA,6,30,121,43505,44418,2.1,43965,45033,2.4,"1,095,423","3,121,997",0.350872534,47147,0.015101552,49.3,35.97,19541,51465.66936
"Davenport-Moline-Rock Island, IA-IL",Illinois,379690,5.579429159,0.066,8.2,22,4,1,NA,6,30,121,43505,44418,2.1,43965,45033,2.4,"2,313,149","12,839,047",0.180165163,138620,0.010796752,49.3,35.97,19541,51465.66936
"Davenport-Moline-Rock Island, IA-IL",Illinois,379690,5.579429159,0.066,8.2,22,4,1,NA,6,30,121,43505,44418,2.1,43965,45033,2.4,"2,313,149","12,839,047",0.180165163,138620,0.010796752,49.3,35.97,19541,51465.66936
"Dayton, OH",Ohio,799232,5.902672864,0.072,8.9,21,16,1,0,NA,NA,39,41298,42707,3.4,41977,43299,3.1,"2,228,586","11,605,090",0.192035219,149213,0.012857548,51.95,41.09,39206,49054.59241
"Decatur, AL",Alabama,153829,5.187038217,0.067,7.4,13,NA,NA,NA,NA,NA,NA,34522,35472,2.8,36647,37634,2.7,"1,107,330","4,853,875",0.228133193,88846,0.018304138,61.25,N/A,5418,35220.92713
"Decatur, IL",Illinois,110768,5.044414314,0.066,7.8,15,54,NA,0.04,NA,NA,NA,43104,44383,3,44769,46489,3.8,"2,313,149","12,839,047",0.180165163,138620,0.010796752,53.75,40.37,6186,55846.45385
"Deltona-Daytona Beach-Ormond Beach, FL",Florida,590289,5.77106469,0.06,5.6,11,NA,NA,NA,NA,NA,39,36906,38197,3.5,35566,36674,3.1,"2,205,777","20,244,914",0.108954624,235599,0.011637441,70.75,49.71,15124,25621.34819
"Denver-Aurora-Lakewood, CO",Colorado,2543482,6.405428669,0.083,9.5,25,20,2,NA,29,77,109,54937,55975,1.9,48131,48435,0.6,"844,873","5,448,819",0.155056169,54116,0.009931693,50.7,14.16,193172,75947.85416
"Des Moines-West Des Moines, IA",Iowa,569633,5.755595141,0.061,7.1,18,1,1,NA,8,33,37,48105,49415,2.7,46773,47721,2,"1,095,423","3,121,997",0.350872534,47147,0.015101552,50.85,36.01,46557,81731.57103
"Detroit-Warren-Dearborn, MI",Michigan,4296250,6.633089545,0.075,11.3,26,59,2,0.07,16,50,181,44718,46894,4.9,42456,44547,4.9,"1,266,949","9,917,715",0.127746058,102480,0.010333025,48.7,30.97,245607,57167.76258
"Dothan, AL",Alabama,145639,5.163277688,0.059,7.1,13,NA,NA,NA,NA,NA,NA,35941,36879,2.6,38830,39848,2.6,"1,107,330","4,853,875",0.228133193,88846,0.018304138,N/A,N/A,5113,35107.35449
"Dover, DE",Delaware,162310,5.210345278,0.068,NA,NA,NA,NA,NA,NA,NA,NA,36845,38178,3.6,36002,37159,3.2,"113,780","944,076",0.120519958,11498,0.012179104,56.75,46.1,7104,43768.09808
"Duluth, MN-WI",Wisconsin,279771,5.446802695,0.059,5.1,16,NA,NA,0,NA,NA,62,40422,41523,2.7,40702,41966,3.1,"1,102,031","5,767,891",0.191063077,68699,0.011910593,39.45,30.94,12432,44436.34258
"Duluth, MN-WI",Wisconsin,279771,5.446802695,0.059,5.1,16,NA,NA,0,NA,NA,62,40422,41523,2.7,40702,41966,3.1,"1,102,031","5,767,891",0.191063077,68699,0.011910593,39.45,30.94,12432,44436.34258
"Duluth, MN-WI",Minnesota,279771,5.446802695,0.059,5.1,16,NA,NA,0,NA,NA,62,40422,41523,2.7,40702,41966,3.1,"1,096,553","5,482,435",0.200012038,66579,0.012144056,39.45,30.94,12432,44436.34258
"Duluth, MN-WI",Minnesota,279771,5.446802695,0.059,5.1,16,NA,NA,0,NA,NA,62,40422,41523,2.7,40702,41966,3.1,"1,096,553","5,482,435",0.200012038,66579,0.012144056,39.45,30.94,12432,44436.34258
"Durham-Chapel Hill, NC",North Carolina,504357,5.702738053,0.063,8.9,20,4,NA,NA,NA,NA,29,46191,47513,2.9,44628,45723,2.5,"1,380,867","10,035,186",0.137602532,133848,0.013337869,59,48.1,44459,88149.8621
"East Stroudsburg, PA",Pennsylvania,169842,5.230045095,0.07,6.3,17,NA,NA,NA,NA,NA,NA,36415,38043,4.5,33777,35269,4.4,"2,723,811","12,791,904",0.212932414,146344,0.011440361,49.35,50.79,5769,33966.86332
"Eau Claire, WI",Wisconsin,161151,5.207233005,0.064,6.1,16,NA,NA,NA,NA,NA,NA,42180,43276,2.6,42282,43314,2.4,"1,102,031","5,767,891",0.191063077,68699,0.011910593,44.6,31.02,8067,50058.64065
"El Centro, CA",California,174528,5.241865112,0.074,12.5,34,7,3,NA,11,60,274,32035,33584,4.8,32539,34395,5.7,"4,097,124","38,993,940",0.105070788,261170,0.006697707,73.75,2.87,5947,34074.76164
"El Paso, TX",Texas,804123,5.905322484,0.071,9.4,24,8,2,0.01,15,60,62,31081,32598,4.9,31795,33469,5.3,"7,315,567","27,429,639",0.266703,392337,0.014303396,64.65,9.69,28912,35954.69847
"Elizabethtown-Fort Knox, KY",Kentucky,148338,5.171252419,0.068,8.2,17,NA,NA,NA,NA,NA,NA,36199,37656,4,38586,40099,3.9,"1,148,959","4,424,611",0.259674579,76039,0.017185466,54.9,50.79,6281,42342.4881
"Elkhart-Goshen, IN",Indiana,197559,5.295696819,0.072,8.5,23,NA,NA,NA,NA,NA,NA,38197,39882,4.4,38771,40240,3.8,"1,810,264","6,612,768",0.273752837,104515,0.015805031,50,39.37,14278,72272.08075
"Enid, OK",Oklahoma,60580,4.782329269,NA,NA,NA,NA,NA,NA,NA,NA,NA,45253,44985,-0.6,47048,45838,-2.6,"1,315,764","3,907,414",0.336735242,61336,0.015697338,59.1,34.3,3010,49686.36514
"Erie, PA",Pennsylvania,280566,5.448035041,0.067,7.7,17,NA,1,NA,5,NA,29,38823,40425,4.1,38522,40152,4.2,"2,723,811","12,791,904",0.212932414,146344,0.011440361,49.9,42.21,10862,38714.59835
"Eugene, OR",Oregon,351715,5.546190891,0.057,6.7,22,NA,NA,NA,NA,NA,41,37867,39871,5.3,35377,37134,5,"737,393","4,024,634",0.18321989,47264,0.011743677,52.5,46.15,14322,40720.4697
"Evansville, IN-KY",Indiana,311552,5.493530544,0.072,9.1,19,71,1,NA,8,NA,30,40974,42091,2.7,41715,42916,2.9,"1,810,264","6,612,768",0.273752837,104515,0.015805031,56.3,45.39,17376,55772.39113
"Evansville, IN-KY",Indiana,311552,5.493530544,0.072,9.1,19,71,1,NA,8,NA,30,40974,42091,2.7,41715,42916,2.9,"1,810,264","6,612,768",0.273752837,104515,0.015805031,56.3,45.39,17376,55772.39113
"Evansville, IN-KY",Kentucky,311552,5.493530544,0.072,9.1,19,71,1,NA,8,NA,30,40974,42091,2.7,41715,42916,2.9,"1,148,959","4,424,611",0.259674579,76039,0.017185466,56.3,45.39,17376,55772.39113
"Evansville, IN-KY",Kentucky,311552,5.493530544,0.072,9.1,19,71,1,NA,8,NA,30,40974,42091,2.7,41715,42916,2.9,"1,148,959","4,424,611",0.259674579,76039,0.017185466,56.3,45.39,17376,55772.39113
"Fairbanks, AK",Alaska,97581,4.989365264,0.039,13.7,67,35,2,NA,13,NA,69,51892,54185,4.4,44801,46715,4.3,"562,729","737,709",0.762806201,6159,0.00834882,27.55,10.83,5441,55758.80551
"Fargo, ND-MN",North Dakota,208777,5.319682653,0.054,NA,NA,2,0,NA,4,27,63,49067,49987,1.9,48406,49342,1.9,"803,239","756,835",1.061313232,18129,0.023953702,42.2,22.58,15351,73528.21431
"Fargo, ND-MN",North Dakota,208777,5.319682653,0.054,NA,NA,2,0,NA,4,27,63,49067,49987,1.9,48406,49342,1.9,"803,239","756,835",1.061313232,18129,0.023953702,42.2,22.58,15351,73528.21431
"Fargo, ND-MN",Minnesota,208777,5.319682653,0.054,NA,NA,2,0,NA,4,27,63,49067,49987,1.9,48406,49342,1.9,"1,096,553","5,482,435",0.200012038,66579,0.012144056,42.2,22.58,15351,73528.21431
"Fargo, ND-MN",Minnesota,208777,5.319682653,0.054,NA,NA,2,0,NA,4,27,63,49067,49987,1.9,48406,49342,1.9,"1,096,553","5,482,435",0.200012038,66579,0.012144056,42.2,22.58,15351,73528.21431
"Farmington, NM",New Mexico,130044,5.114090319,0.067,NA,NA,7,NA,NA,10,35,35,35454,37777,6.6,35735,38431,7.5,"655,679","2,080,328",0.315180587,23094,0.011101134,52.45,8.59,6033,46391.9904
"Fayetteville-Springdale-Rogers, AR-MO",Arkansas,463204,5.665772301,0.058,8.1,18,NA,NA,NA,NA,NA,NA,51809,52509,1.4,52947,53662,1.4,"828,862","2,977,853",0.278342148,46465,0.015603524,58.05,45.51,26034,56204.17786
"Fayetteville-Springdale-Rogers, AR-MO",Arkansas,463204,5.665772301,0.058,8.1,18,NA,NA,NA,NA,NA,NA,51809,52509,1.4,52947,53662,1.4,"828,862","2,977,853",0.278342148,46465,0.015603524,58.05,45.51,26034,56204.17786
"Fayetteville-Springdale-Rogers, AR-MO",Missouri,463204,5.665772301,0.058,8.1,18,NA,NA,NA,NA,NA,NA,51809,52509,1.4,52947,53662,1.4,"1,361,318","6,076,204",0.224040865,81504,0.013413638,58.05,45.51,26034,56204.17786
"Fayetteville-Springdale-Rogers, AR-MO",Missouri,463204,5.665772301,0.058,8.1,18,NA,NA,NA,NA,NA,NA,51809,52509,1.4,52947,53662,1.4,"1,361,318","6,076,204",0.224040865,81504,0.013413638,58.05,45.51,26034,56204.17786
"Fayetteville, NC",North Carolina,366383,5.563935314,0.064,8.5,20,NA,NA,NA,NA,NA,30,35109,36460,3.8,35364,36863,4.2,"1,380,867","10,035,186",0.137602532,133848,0.013337869,61.15,45.34,16989,46369.5095
"Flagstaff, AZ",Arizona,134421,5.128467122,0.064,NA,NA,NA,NA,NA,NA,NA,NA,39596,41018,3.6,37008,38159,3.1,"1,028,888","6,817,565",0.150917226,77349,0.011345546,43.8,23.14,5488,40826.95412
"Flint, MI",Mississippi,425790,5.629195457,0.073,7.2,19,NA,NA,NA,NA,NA,NA,34858,36612,5,34699,36723,5.8,"855,082","2,989,390",0.286038958,48692,0.016288273,47.35,31.38,13876,32588.83487
"Florence-Muscle Shoals, AL",Alabama,147137,5.167721897,0.061,7.5,16,NA,NA,NA,NA,NA,NA,34569,35427,2.5,37863,38786,2.4,"1,107,330","4,853,875",0.228133193,88846,0.018304138,60.15,N/A,4837,32874.12412
"Florence, SC",South Carolina,205566,5.312951285,0.063,8.2,19,NA,NA,NA,NA,NA,NA,34798,36130,3.8,37371,38649,3.4,"878,915","4,894,834",0.179559715,81328,0.016615068,63.4,46.54,8176,39773.11423
"Fond du Lac, WI",Wisconsin,101633,5.007034745,0.066,NA,NA,NA,NA,NA,NA,NA,NA,42360,43764,3.3,44470,45993,3.4,"1,102,031","5,767,891",0.191063077,68699,0.011910593,45.25,29.88,4660,45851.2491
"Fort Collins, CO",Colorado,299630,5.476585294,0.076,NA,NA,NA,1,NA,NA,NA,50,44335,45318,2.2,40069,40684,1.5,"844,873","5,448,819",0.155056169,54116,0.009931693,50.25,16.05,15482,51670.39349
"Fort Smith, AR-OK",Arkansas,280467,5.447881769,0.058,8.3,19,NA,NA,NA,5,27,NA,33375,34065,2.1,35806,36588,2.2,"828,862","2,977,853",0.278342148,46465,0.015603524,61.55,45.53,10633,37911.76859
"Fort Smith, AR-OK",Oklahoma,280467,5.447881769,0.058,8.3,19,NA,NA,NA,5,27,NA,33375,34065,2.1,35806,36588,2.2,"1,315,764","3,907,414",0.336735242,61336,0.015697338,61.55,45.53,10633,37911.76859
"Fort Wayne, IN",Indiana,416257,5.61936155,0.069,8.2,19,NA,NA,NA,4,20,NA,39543,41102,3.9,40311,41824,3.8,"1,810,264","6,612,768",0.273752837,104515,0.015805031,50.35,38.26,21280,51122.26341
"Fresno, CA",California,930450,5.96869304,0.093,13,43,6,2,0.01,21,48,115,36448,38323,5.1,34414,36166,5.1,"4,097,124","38,993,940",0.105070788,261170,0.006697707,64.1,12.83,38830,41732.49503
"Gadsden, AL",Alabama,104430,5.018825278,0.064,8.2,14,NA,NA,NA,NA,NA,NA,32943,34086,3.5,36019,36994,2.7,"1,107,330","4,853,875",0.228133193,88846,0.018304138,62,54.7,2887,27645.31265
"Gainesville, FL",Florida,264275,5.422056081,0.06,6,15,NA,NA,NA,NA,NA,NA,38187,39650,3.8,36920,38453,4.2,"2,205,777","20,244,914",0.108954624,235599,0.011637441,68.7,47.37,12049,45592.65916
"Gainesville, GA",Georgia,179684,5.254509407,NA,8.5,23,NA,NA,NA,NA,NA,NA,35116,36597,4.2,36159,37637,4.1,"1,744,976","10,199,398",0.171086176,135878,0.013322159,59.85,53.24,8569,47689.27673
"Gettysburg, PA",Pennsylvania,101407,5.006067935,0.073,NA,NA,7,0,NA,1,14,NA,43361,45023,3.8,41618,43122,3.6,"2,723,811","12,791,904",0.212932414,146344,0.011440361,52.55,43.11,3058,30155.70917
"Goldsboro, NC",North Carolina,122623,5.088571937,NA,NA,NA,NA,NA,NA,NA,NA,NA,35100,35801,2,36852,37393,1.5,"1,380,867","10,035,186",0.137602532,133848,0.013337869,62.05,48.79,4446,36257.47209
"Grand Forks, ND-MN",Minnesota,98461,4.993264242,NA,NA,NA,NA,NA,NA,NA,NA,NA,44561,45158,1.3,43816,44033,0.5,"1,096,553","5,482,435",0.200012038,66579,0.012144056,40.85,21.7,4977,50547.93268
"Grand Forks, ND-MN",Minnesota,98461,4.993264242,NA,NA,NA,NA,NA,NA,NA,NA,NA,44561,45158,1.3,43816,44033,0.5,"1,096,553","5,482,435",0.200012038,66579,0.012144056,40.85,21.7,4977,50547.93268
"Grand Forks, ND-MN",North Dakota,98461,4.993264242,NA,NA,NA,NA,NA,NA,NA,NA,NA,44561,45158,1.3,43816,44033,0.5,"803,239","756,835",1.061313232,18129,0.023953702,40.85,21.7,4977,50547.93268
"Grand Forks, ND-MN",North Dakota,98461,4.993264242,NA,NA,NA,NA,NA,NA,NA,NA,NA,44561,45158,1.3,43816,44033,0.5,"803,239","756,835",1.061313232,18129,0.023953702,40.85,21.7,4977,50547.93268
"Grand Island, NE",Nevada,81850,4.913018684,NA,5.4,12,NA,NA,NA,NA,NA,NA,39973,40671,1.7,42965,43483,1.2,"343,103","2,883,758",0.118977737,36020,0.012490646,50.75,26.61,4053,49517.4099
"Grand Junction, CO",Colorado,146723,5.166498198,0.063,6.1,21,NA,1,NA,NA,NA,35,38424,38863,1.1,37310,37749,1.2,"844,873","5,448,819",0.155056169,54116,0.009931693,52.55,9.41,5429,37001.69708
"Grand Rapids-Wyoming, MI",Michigan,988938,5.995169065,0.075,8.8,23,20,1,0,NA,NA,56,43504,45371,4.3,42810,44431,3.8,"1,266,949","9,917,715",0.127746058,102480,0.010333025,40.35,28.94,53949,54552.4593
"Grants Pass, OR",Oregon,82713,4.917573773,NA,5.8,15,NA,NA,NA,NA,NA,NA,34359,36013,4.8,33662,35184,4.5,"737,393","4,024,634",0.18321989,47264,0.011743677,54.75,30.99,2019,24409.70585
"Great Falls, MT",Montana,81327,4.910234752,NA,NA,NA,NA,NA,NA,NA,NA,NA,40678,42053,3.4,39935,41078,2.9,"364,904","1,032,073",0.353564137,14207,0.013765499,44.5,14.73,3455,42482.81628
"Greeley, CO",Colorado,252825,5.402820016,0.067,8.9,33,NA,1,NA,NA,NA,51,40830,42787,4.8,37962,39361,3.7,"844,873","5,448,819",0.155056169,54116,0.009931693,52.75,14.67,10472,41419.95451
"Green Bay, WI",Wisconsin,306241,5.486063334,0.072,6.9,19,13,NA,NA,NA,NA,NA,44501,45665,2.6,44584,45716,2.5,"1,102,031","5,767,891",0.191063077,68699,0.011910593,44.15,29.53,18650,60899.74889
"Greensboro-High Point, NC",North Carolina,723801,5.859619179,0.067,8.4,18,NA,NA,NA,NA,NA,35,37952,39263,3.5,38789,40003,3.1,"1,380,867","10,035,186",0.137602532,133848,0.013337869,59.05,42.36,39316,54318.79757
"Greenville-Anderson-Mauldin, SC",South Carolina,824112,5.915986238,0.067,9.5,31,2,NA,NA,8,NA,116,37676,39213,4.1,38513,40057,4,"878,915","4,894,834",0.179559715,81328,0.016615068,61.05,44.17,38306,46481.5462
"Greenville, NC",North Carolina,168148,5.225691706,0.065,6.9,15,NA,NA,NA,NA,NA,NA,35922,37042,3.1,37244,38448,3.2,"1,380,867","10,035,186",0.137602532,133848,0.013337869,61.6,49.62,7471,44431.09642
"Gulfport-Biloxi-Pascagoula, MS",Mississippi,370702,5.569024929,0.063,8.1,16,6,NA,NA,4,NA,NA,33900,34206,0.9,34600,35058,1.3,"855,082","2,989,390",0.286038958,48692,0.016288273,68.25,65.19,16670,44968.73499
"Hagerstown-Martinsburg, MD-WV",West Virginia,251599,5.400708911,0.07,8.6,22,NA,NA,NA,NA,NA,NA,38732,39981,3.2,35184,36439,3.6,"495,967","1,841,053",0.269393114,32303,0.017545937,53.2,39.3,8936,35516.83433
"Hagerstown-Martinsburg, MD-WV",West Virginia,251599,5.400708911,0.07,8.6,22,NA,NA,NA,NA,NA,NA,38732,39981,3.2,35184,36439,3.6,"495,967","1,841,053",0.269393114,32303,0.017545937,53.2,39.3,8936,35516.83433
"Hagerstown-Martinsburg, MD-WV",Maryland,251599,5.400708911,0.07,8.6,22,NA,NA,NA,NA,NA,NA,38732,39981,3.2,35184,36439,3.6,"808,485","5,994,983",0.134860266,61782,0.010305617,53.2,39.3,8936,35516.83433
"Hagerstown-Martinsburg, MD-WV",Maryland,251599,5.400708911,0.07,8.6,22,NA,NA,NA,NA,NA,NA,38732,39981,3.2,35184,36439,3.6,"808,485","5,994,983",0.134860266,61782,0.010305617,53.2,39.3,8936,35516.83433
"Hammond, LA",Louisiana,121097,5.083133384,NA,NA,NA,NA,NA,NA,NA,NA,NA,34521,36043,4.4,37111,38409,3.5,"1,486,065","4,668,960",0.318286085,91676,0.019635208,66.75,62.72,3668,30289.76771
"Hanford-Corcoran, CA",California,152982,5.184640334,0.083,15.5,46,NA,NA,NA,9,41,151,32648,33126,1.5,32281,32793,1.6,"4,097,124","38,993,940",0.105070788,261170,0.006697707,62.8,8.95,5407,35344.0274
"Harrisburg-Carlisle, PA",Pennsylvania,549475,5.739947938,0.07,8.9,25,NA,NA,NA,NA,NA,41,46227,47991,3.8,44210,45848,3.7,"2,723,811","12,791,904",0.212932414,146344,0.011440361,53.5,41.5,33730,61385.86833
"Harrisonburg, VA",Virginia,125228,5.097701445,0.062,7.4,18,2,NA,NA,8,35,NA,34653,35700,3,34802,36415,4.6,"1,392,675","8,367,587",0.166436871,112009,0.013386057,52.1,36.41,7398,59076.24493
"Hartford-West Hartford-East Hartford, CT",Connecticut,1212381,6.083639122,0.08,7.2,19,2,2,NA,16,54,46,56798,58801,3.5,51782,53538,3.4,"837,225","3,584,730",0.233553155,29476,0.008222656,49.8,44.23,86113,71028.00192
"Hattiesburg, MS",Mississippi,142842,5.154855922,NA,8.9,16,NA,NA,NA,NA,NA,NA,33302,34574,3.8,36275,38387,5.8,"855,082","2,989,390",0.286038958,48692,0.016288273,66.05,61.61,5658,39610.19868
"Hickory-Lenoir-Morganton, NC",North Carolina,365497,5.562883817,0.066,9,22,NA,NA,NA,NA,NA,48,33749,35406,4.9,35220,37121,5.4,"1,380,867","10,035,186",0.137602532,133848,0.013337869,58.75,46.2,13062,35737.63943
"Hilton Head Island-Bluffton-Beaufort, SC",South Carolina,187010,5.27186483,NA,NA,NA,NA,NA,NA,NA,NA,NA,44111,45158,2.4,43040,44034,2.3,"878,915","4,894,834",0.179559715,81328,0.016615068,66.3,50.34,7927,42388.10759
"Homosassa Springs, FL",Florida,141236,5.149945409,NA,5.7,12,47,NA,NA,NA,NA,NA,34334,35323,2.9,35568,36837,3.6,"2,205,777","20,244,914",0.108954624,235599,0.011637441,N/A,N/A,2984,21127.7578
"Hot Springs, AR",Arkansas,96024,4.982379793,NA,8.6,16,NA,NA,NA,NA,NA,NA,36114,37090,2.7,38998,39947,2.4,"828,862","2,977,853",0.278342148,46465,0.015603524,N/A,N/A,3368,35074.56469
"Houma-Thibodaux, LA",Louisiana,208178,5.318434832,0.065,6.9,14,NA,NA,NA,NA,NA,NA,46508,45390,-2.4,46177,45514,-1.4,"1,486,065","4,668,960",0.318286085,91676,0.019635208,69.3,62.18,11744,56413.26173
"Houston-The Woodlands-Sugar Land, TX",Texas,5920416,6.772352224,0.079,10.1,23,23,2,0,14,54,81,53660,54346,1.3,49079,49386,0.6,"7,315,567","27,429,639",0.266703,392337,0.014303396,69.05,45.28,503311,85012.77613
"Huntington-Ashland, WV-KY-OH",West Virginia,364908,5.562183385,0.07,8.1,18,8,NA,0.01,5,29,50,35138,36146,2.9,37392,38372,2.6,"495,967","1,841,053",0.269393114,32303,0.017545937,56,43.11,14499,39733.30264
"Huntington-Ashland, WV-KY-OH",West Virginia,364908,5.562183385,0.07,8.1,18,8,NA,0.01,5,29,50,35138,36146,2.9,37392,38372,2.6,"495,967","1,841,053",0.269393114,32303,0.017545937,56,43.11,14499,39733.30264
"Huntington-Ashland, WV-KY-OH",West Virginia,364908,5.562183385,0.07,8.1,18,8,NA,0.01,5,29,50,35138,36146,2.9,37392,38372,2.6,"495,967","1,841,053",0.269393114,32303,0.017545937,56,43.11,14499,39733.30264
"Huntington-Ashland, WV-KY-OH",Ohio,364908,5.562183385,0.07,8.1,18,8,NA,0.01,5,29,50,35138,36146,2.9,37392,38372,2.6,"2,228,586","11,605,090",0.192035219,149213,0.012857548,56,43.11,14499,39733.30264
"Huntington-Ashland, WV-KY-OH",Ohio,364908,5.562183385,0.07,8.1,18,8,NA,0.01,5,29,50,35138,36146,2.9,37392,38372,2.6,"2,228,586","11,605,090",0.192035219,149213,0.012857548,56,43.11,14499,39733.30264
"Huntington-Ashland, WV-KY-OH",Ohio,364908,5.562183385,0.07,8.1,18,8,NA,0.01,5,29,50,35138,36146,2.9,37392,38372,2.6,"2,228,586","11,605,090",0.192035219,149213,0.012857548,56,43.11,14499,39733.30264
"Huntington-Ashland, WV-KY-OH",Kentucky,364908,5.562183385,0.07,8.1,18,8,NA,0.01,5,29,50,35138,36146,2.9,37392,38372,2.6,"1,148,959","4,424,611",0.259674579,76039,0.017185466,56,43.11,14499,39733.30264
"Huntington-Ashland, WV-KY-OH",Kentucky,364908,5.562183385,0.07,8.1,18,8,NA,0.01,5,29,50,35138,36146,2.9,37392,38372,2.6,"1,148,959","4,424,611",0.259674579,76039,0.017185466,56,43.11,14499,39733.30264
"Huntington-Ashland, WV-KY-OH",Kentucky,364908,5.562183385,0.07,8.1,18,8,NA,0.01,5,29,50,35138,36146,2.9,37392,38372,2.6,"1,148,959","4,424,611",0.259674579,76039,0.017185466,56,43.11,14499,39733.30264
"Huntsville, AL",Alabama,417593,5.62075321,0.066,NA,NA,NA,NA,NA,NA,NA,68,42939,44068,2.6,43684,44943,2.9,"1,107,330","4,853,875",0.228133193,88846,0.018304138,61.95,54.33,24248,58066.10743
"Idaho Falls, ID",Idaho,133265,5.124716104,0.058,NA,NA,NA,NA,NA,NA,NA,NA,36515,37873,3.7,37712,38869,3.1,"523,561","1,652,828",0.316766778,23059,0.01395124,44.2,10.95,5769,43289.68596
"Indianapolis-Carmel-Anderson, IN",Indiana,1887877,6.275973695,0.073,10.4,22,23,3,0.01,13,NA,85,46535,48272,3.7,45949,47575,3.5,"1,810,264","6,612,768",0.273752837,104515,0.015805031,53.1,42.2,134081,71022.10578
"Iowa City, IA",Iowa,152586,5.183514688,NA,7.4,17,NA,NA,NA,NA,NA,38,46252,47324,2.3,44214,45125,2.1,"1,095,423","3,121,997",0.350872534,47147,0.015101552,51.2,37.64,9419,61729.12325
"Ithaca, NY",New York,101564,5.006739797,0.066,NA,NA,NA,NA,NA,NA,NA,NA,39139,41095,5,34295,35846,4.5,"2,621,582","19,747,183",0.132757265,148914,0.007541025,46.65,37.3,4889,48137.13521
"Jackson, MS",Mississippi,567122,5.753676495,0.063,8.4,17,13,1,NA,NA,NA,49,41065,41900,2,41843,42624,1.9,"855,082","2,989,390",0.286038958,48692,0.016288273,56.85,54.11,28996,51128.32865
"Jackson, TN",Tennessee,130011,5.113980099,NA,6.8,13,NA,NA,NA,NA,NA,NA,35249,36870,4.6,39127,41194,5.3,"1,253,531","6,595,056",0.19007132,99632,0.015107074,60.1,54.11,6078,46749.89039
"Jacksonville, FL",Florida,1345596,6.128914687,0.062,7.9,17,18,2,NA,NA,NA,48,42762,44219,3.4,41052,42328,3.1,"2,205,777","20,244,914",0.108954624,235599,0.011637441,67.9,N/A,67557,50206.00537
"Jacksonville, NC",North Carolina,177772,5.249863358,NA,NA,NA,NA,NA,NA,NA,NA,NA,44358,43952,-0.9,43337,43243,-0.2,"1,380,867","10,035,186",0.137602532,133848,0.013337869,62.15,54.24,7876,44303.93988
"Janesville-Beloit, WI",Wisconsin,160331,5.205017501,0.072,NA,NA,NA,NA,NA,NA,NA,NA,38470,40026,4,38397,39965,4.1,"1,102,031","5,767,891",0.191063077,68699,0.011910593,47.35,35.2,6029,37603.45785
"Jefferson City, MO",Missouri,149807,5.175532107,0.064,NA,NA,NA,NA,NA,NA,NA,NA,38618,39497,2.3,43129,43997,2,"1,361,318","6,076,204",0.224040865,81504,0.013413638,55.25,43.11,6750,45057.97459
"Johnstown, PA",Pennsylvania,143679,5.157393297,0.064,8.9,23,21,1,NA,7,36,47,37150,38512,3.7,39996,41221,3.1,"2,723,811","12,791,904",0.212932414,146344,0.011440361,52.15,47.68,4149,28876.87136
"Jonesboro, AR",Arkansas,121026,5.08287868,NA,NA,NA,NA,NA,NA,NA,NA,NA,33178,33709,1.6,37199,37777,1.6,"828,862","2,977,853",0.278342148,46465,0.015603524,59.2,48.19,4843,40016.19487
